ts_code,bond_short_name,publish_date,end_date,issue_size,convert_price_initial,convert_price,convert_val,convert_vol,convert_ratio,acc_convert_val,acc_convert_vol,acc_convert_ratio,remain_size,total_shares
110073.SH,国投转债,20260706,20260706,8000000000.0,15.25,9.27,10957.14,1182.0,0.000137,1048623.5,93481.0,0.0131,7998951376.5,6394005050.0
111000.SH,起帆转债,20260706,20260706,1000000000.0,20.1,17.29,4996.81,289.0,0.0005,878996.81,44742.0,0.0879,999121003.19,412908042.0
110081.SH,闻泰转债,20260706,20260706,8600000000.0,96.69,18.36,391820.76,21341.0,0.004556,893904170.32,48536851.0,10.3942,7706059829.68,1293145511.0
110074.SH,精达转债,20260706,20260706,787000000.0,3.75,3.26,89998.82,27607.0,0.011436,558672923.1,157218226.0,70.9877,228327076.9,2161956750.0
111001.SH,山玻转债,20260703,20260703,600000000.0,11.5,11.18,1789571.42,160069.0,0.298262,598507619.14,53532916.0,99.7513,1481380.86,653532916.0
110073.SH,国投转债,20260703,20260703,8000000000.0,15.25,9.27,7944.39,857.0,9.9e-05,1037666.36,92299.0,0.013,7998962333.64,6394003868.0
110075.SH,南航转债,20260703,20260703,16000000000.0,6.24,6.17,999.54,162.0,6e-06,10104073999.54,1619243400.0,63.1505,5895926000.46,18120969682.0
110081.SH,闻泰转债,20260703,20260703,8600000000.0,96.69,18.36,278101104.84,15147119.0,3.233734,893512349.56,48515510.0,10.3897,7706451650.44,1293124170.0
110081.SH,闻泰转债,20260702,20260702,8600000000.0,96.69,18.36,74376451.8,4051005.0,0.864842,615411244.72,33368391.0,7.1559,7984552755.28,1277977051.0
111001.SH,山玻转债,20260702,20260702,600000000.0,11.5,11.18,4604538.9,411855.0,0.767423,596718047.72,53372847.0,99.453,3270952.28,653372847.0
110092.SH,三房转债,20260702,20260702,2500000000.0,3.02,3.02,4998.1,1655.0,0.0002,381458998.1,126309539.0,15.2584,2118541001.9,4022649215.0
110074.SH,精达转债,20260702,20260702,787000000.0,3.75,3.26,204985.54,62879.0,0.026046,558582924.28,157190619.0,70.9762,228417075.72,2161929143.0
111024.SH,澳弘转债,20260702,20260702,580000000.0,34.04,33.54,1978.86,59.0,0.000341,42951.52,1258.0,0.0074,579957048.48,142925208.0
110073.SH,国投转债,20260702,20260702,8000000000.0,15.25,9.27,32899.23,3549.0,0.000411,1029721.97,91442.0,0.0129,7998970278.03,6394003011.0
111001.SH,山玻转债,20260703,20260701,600000000.0,11.5,11.18,89596508.82,8013999.0,14.932751,592113508.82,52960992.0,98.6856,7875491.18,652960992.0
110081.SH,闻泰转债,20260701,20260701,8600000000.0,96.69,18.36,1042792.92,56797.0,0.012125,541034792.92,29317386.0,6.2911,8058929207.08,1273926046.0
110073.SH,国投转债,20260701,20260701,8000000000.0,15.25,9.27,22822.74,2462.0,0.000285,996822.74,87893.0,0.0125,7999003177.26,6393999462.0
111024.SH,澳弘转债,20260701,20260701,580000000.0,34.04,33.54,972.66,29.0,0.000168,40972.66,1199.0,0.0071,579959027.34,142925149.0
110074.SH,精达转债,20260701,20260701,787000000.0,3.75,3.26,6981938.74,2141699.0,0.887159,558377938.74,157127740.0,70.9502,228622061.26,2161866264.0
110081.SH,闻泰转债,20260702,20260630,8600000000.0,96.69,18.36,3336739.02,179068.0,0.038799,539992000.0,29260589.0,6.279,8059972000.0,1273869249.0
111022.SH,锡振转债,20260702,20260630,520000000.0,22.64,22.39,1011.52,44.0,0.000195,260000.0,11481.0,0.05,519740000.0,350097697.0
110075.SH,南航转债,20260703,20260630,16000000000.0,6.24,6.17,2008.74,324.0,1.3e-05,10104073000.0,1619243238.0,63.1505,5895927000.0,18120969520.0
111001.SH,山玻转债,20260702,20260630,600000000.0,11.5,11.18,27784836.54,2484472.0,4.630806,502517000.0,44946993.0,83.7528,97472000.0,644946993.0
110085.SH,通22转债,20260703,20260629,12000000000.0,38.36,34.6,1457.8,28.0,1.2e-05,16909000.0,442756.0,0.1409,11983083000.0,4501990940.0
111000.SH,起帆转债,20260702,20260629,1000000000.0,20.1,17.29,2204.15,115.0,0.00022,874000.0,44453.0,0.0874,999126000.0,412907753.0
110099.SH,福能转债,20260702,20260629,3802000000.0,9.84,9.84,1313.28,101.0,3.5e-05,87000.0,8809.0,0.0023,3801913000.0,2780146609.0
