model,factor,rebalance_date,return_date,n_obs,ic,rank_ic
BS,liquidity,2025-04-30,2025-05-30,292,0.19906615485662932,0.02442049169700391
BS,momentum,2025-04-30,2025-05-30,292,0.22124467841268639,0.016155813784231515
BS,price_volume,2025-04-30,2025-05-30,292,0.1066578134336965,-0.03122666868459701
BS,valuation,2025-04-30,2025-05-30,292,0.11002307972215838,0.12529564045108454
BS,volatility,2025-04-30,2025-05-30,292,0.02015153146070885,-0.09808732015155686
BS,bs_deviation,2025-05-30,2025-06-27,287,0.15046638738766463,0.18790609796707358
BS,liquidity,2025-05-30,2025-06-27,287,0.1683854050526741,0.07597179243520706
BS,momentum,2025-05-30,2025-06-27,287,-0.030225430688768963,-0.00435743118669948
BS,price_volume,2025-05-30,2025-06-27,287,0.018048922576369933,-0.044240312532995464
BS,valuation,2025-05-30,2025-06-27,287,-0.1746427335392188,-0.0821343290855486
BS,volatility,2025-05-30,2025-06-27,287,0.2655287116410948,0.13228844326405303
BS,bs_deviation,2025-06-27,2025-07-25,298,0.11965885905783279,0.09489816347125947
BS,liquidity,2025-06-27,2025-07-25,298,0.18681899656745662,0.08757617249009136
BS,momentum,2025-06-27,2025-07-25,298,0.1769566598454477,0.0783986301932027
BS,price_volume,2025-06-27,2025-07-25,298,0.1117979409443609,0.03267824481714181
BS,valuation,2025-06-27,2025-07-25,298,-0.033714595823448636,0.02872227471001909
BS,volatility,2025-06-27,2025-07-25,298,0.1997503645926356,0.12016576621187065
BS,bs_deviation,2025-07-25,2025-08-29,281,0.10005823662538156,0.06776330733701824
BS,liquidity,2025-07-25,2025-08-29,281,0.1691599778287273,0.12480989518545357
BS,momentum,2025-07-25,2025-08-29,281,0.04689930848295444,0.045887462276498384
BS,price_volume,2025-07-25,2025-08-29,281,0.09099891152139587,0.07729721251717162
BS,valuation,2025-07-25,2025-08-29,281,-0.14235766979800496,-0.14134441692176225
BS,volatility,2025-07-25,2025-08-29,281,0.1614374687476365,0.18453904314811403
BS,bs_deviation,2025-08-29,2025-09-30,270,0.11050177009324762,0.16330874832911896
BS,liquidity,2025-08-29,2025-09-30,270,0.02118545819388805,0.09530598651711424
BS,momentum,2025-08-29,2025-09-30,270,0.08516795820591094,0.15328270011324646
BS,price_volume,2025-08-29,2025-09-30,270,0.08552888744258423,0.0757099243854892
BS,valuation,2025-08-29,2025-09-30,270,0.05384719167524057,0.074984415271662
BS,volatility,2025-08-29,2025-09-30,270,-0.03028247456577748,0.1649822966631153
BS,bs_deviation,2025-09-30,2025-10-31,252,-0.16563402369777036,-0.19327470843147268
BS,liquidity,2025-09-30,2025-10-31,252,-0.31375174107936776,-0.30233817224983
BS,momentum,2025-09-30,2025-10-31,252,-0.3136578754906814,-0.34987548394789
BS,price_volume,2025-09-30,2025-10-31,252,-0.27530730972132605,-0.29143954953759216
BS,valuation,2025-09-30,2025-10-31,252,0.1145286799669633,0.05665274156526539
BS,volatility,2025-09-30,2025-10-31,252,-0.3134300494011736,-0.35538328522911933
BS,bs_deviation,2025-10-31,2025-11-28,244,-0.06816608393344428,-0.18739575976109935
BS,liquidity,2025-10-31,2025-11-28,244,-0.04454472101917588,-0.35942240891499283
BS,momentum,2025-10-31,2025-11-28,244,0.4592800954042784,0.1189662507383038
BS,price_volume,2025-10-31,2025-11-28,244,-0.011153598595574627,-0.15801808276437473
BS,valuation,2025-10-31,2025-11-28,244,-0.06662790939026149,-0.09258557096183949
BS,volatility,2025-10-31,2025-11-28,244,-0.002976960662568191,-0.42695480134980524
BS,bs_deviation,2025-11-28,2025-12-31,235,-0.043766040406641206,-0.05592573071837406
BS,liquidity,2025-11-28,2025-12-31,235,0.004339912820882394,0.08280581060963317
BS,momentum,2025-11-28,2025-12-31,235,0.07073520475091825,-0.021637216011539846
BS,price_volume,2025-11-28,2025-12-31,235,-0.012421999157343754,-0.004722276161151026
BS,valuation,2025-11-28,2025-12-31,235,-0.08014348128612699,-0.1188715359649366
BS,volatility,2025-11-28,2025-12-31,235,0.054903645131429556,0.18065318501669023
BS,bs_deviation,2025-12-31,2026-01-30,217,-0.087246282151137,-0.08531804751100401
BS,liquidity,2025-12-31,2026-01-30,217,0.22498746339170114,0.09961973346110664
BS,momentum,2025-12-31,2026-01-30,217,0.3671437286286031,0.24156672632553072
BS,price_volume,2025-12-31,2026-01-30,217,0.13153034845352585,0.05374347627972961
BS,valuation,2025-12-31,2026-01-30,217,-0.26484027633951074,-0.24751499692310586
BS,volatility,2025-12-31,2026-01-30,217,0.37040963067981125,0.20789117659493514
BS,bs_deviation,2026-01-30,2026-02-27,214,0.07649500231099442,0.11538520407382351
BS,liquidity,2026-01-30,2026-02-27,214,-0.07891685143126088,-0.21060394096812998
BS,momentum,2026-01-30,2026-02-27,214,-0.21755157543953457,-0.15550508003465263
BS,price_volume,2026-01-30,2026-02-27,214,-0.0631156300690538,-0.12728096464026498
